,neg,neu,pos,compound,Full_News,Publisher,label,word_count
0,0.0,1.0,0.0,0.0,nan nan,Bangladesh Post,0,2
1,0.0,1.0,0.0,0.0,nan nan,Bangladesh Post,0,2
2,0.0,1.0,0.0,0.0,nan nan,Bangladesh Post,0,2
3,0.0,1.0,0.0,0.0,nan nan,Bangladesh Post,0,2
4,0.074,0.851,0.075,0.2732,lpg price drop tk kg month continuous upward trend price energy regulator lowered price liquified petroleum gas lpg effect pm thursday per announcement bangladesh energy regulatory comission berc consumer enjoy lpg gas lowered price tk per kg new price set tk instead previous price tk result kg lgp container popular one selling tk including vat instead last month price tk lowered tk berc chairman abdul jalil announced new price lpg thursday afternoon said new price lpg rationally applicable container kg kg berc also set auto gas price lower rate tk per litre instead previous tk motor vehicle abdul jalil said globally price saudi cp contract price declined give benefit local consumer bangladeshi private lpg operator mainly import gas middle east market based saudi cp however said price lpg marketed state owned lp gas company effect locally produced market share le percent lpg price lowest tk kg january year witnessed continuous hike price february march april industry insider said global lpg market witnessed rising trend price following russia ukraine war began february year berc first time fixed retail level lpg price april holding public hearing comply high court order,Bangladesh Post,1,188
5,0.026,0.773,0.202,0.9921,bigger slice pie social security next budget overall allocation social security sector might increased budget fiscal lakh beneficiary might also included scheme according source concerned new financial year allocation sector may shown tk lakh crore tk lakh crore current financial year present lakh elderly people country getting old aged allowance getting tk every month allowance lakh people added scheme next financial year total number beneficiary stand lakh besides present lakh widow woman abandoned husband also getting allowance monthly one best initiative government allowance provided different type beneficiary social security programme financial programme government programme government providing financial assistance elderly destitute unemployed low income people according official awami league government led sheikh hasina assumed power first time bangladesh government launched allowance system financial year tk given beneficiary amount increased tk number beneficiary lakh number beneficiary increased lakh number rose lakh year amount allowance money also increased tk according official primarily allowance scheme implemented upazilas country current fiscal year upazilas included therefore present implemented total upazilas across country official said upazilas also brought scheme upazilas included people form total upazilas come allowance facility according source recent meeting cabinet committee social security chaired finance minister ahm mustafa kamal ministry social welfare recommended increase tk tk finance department finance ministry agree recommendation selim raihan executive director south asian network economic modeling sanem said important increase allowance view inflation said main objective programme bring poor social security happening considering inflation tk seven year ago come equivalent tk per rule want get allowance apply online application filled applicant submit printed copy local office directorate social welfare recommendation local chairman union parishad municipality application verified granted applicant get tk monthly allowance mobile banking,Bangladesh Post,1,276
6,0.025,0.855,0.12,0.9782,effort revive glorious dhakai muslin dhakai muslin cloth adorned exquisite beauty color art caused great stir world muslin cloth stitched thread finely entire saree could pas finger ring finely woven muslin cloth worn appreciated mughal ruler european aristocrat project undertaken government bangladesh year ago find technology making muslin yarn cloth reviving lost art first phase project titled reviving technology muslin golden heritage bangladesh began second phase project going present project worth tk million implemented bangladesh handloom board bhb ministry textile jute research activity project officially inaugurated prime minister sheikh hasina november ancient medieval period dhaka center weaving asia village muslin industry formed centering sonargaon far dhaka year dhakai muslin worth tk lakh exported according concerned official project mentioned task reviving dhakai muslin lost since almost year ago easy research recovery dhaka muslin considered remarkable achievement md ayub ali chief planning implementation bangladesh handloom board director project told bangladesh post muslin cloth made phuti carpus cotton therefore started looking rare supposedly extinct cotton plant morphological sketch phuti carpus cotton made according description carl linnaeus book specie plantarum detail obtained history mentioned research team carried search country especially kapasia gazipur bagerhat sadar mughalhat lalmonirhat dimla nilphamari kapasia rajshahi rangpur germplasm center manda cotton development board naogaon phuti carpus cotton around sample cotton germplasm collected mentioned place kind cotton cultivated six variety identified collected sample one identified phuti carpus went describe dhakai muslin house already established tarabo rupganj upazila outskirt dhaka spinner weaver trained production muslin cloth already started ayub ali added,Bangladesh Post,1,249
7,0.053,0.718,0.229,0.993,bangladesh sends medical supply sri lanka government decided send tk million worth emergency medical supply sri lanka amid crisis foreign minister dr ak abdul momen health minister zahid maleque thursday handed box medicine sri lankan high commissioner dhaka prof sudharshan seneviratne ceremony state guesthouse padma full consignment expected reach sri lanka within day foreign ministry said spirit friendship good neighborly relation envisioned prime minister sheikh hasina bangladesh decided send significant quantity medical supply worth crore bangladesh taka sri lanka goodwill gesture island nation sri lanka economic crisis lead unprecedented level inflation near depletion foreign exchange reserve shortage medicinal supply rising price foreign minister dr momen termed offer medicine expression solidarity friendship bangladesh sri lanka time two country celebrating year diplomatic relation added leadership prime minister sheikh hasina bangladesh never hesitates extend assistance nation difficulty particular neighbor ensuring shared peace prosperity south asian region assured bangladesh stand ready support sri lanka possible way sri lankan high commissioner conveyed gratitude government sri lanka prime minister sheikh hasina government bangladesh friendly gesture supplying medicine people sri lanka noted sri lanka value friendly relationship bangladesh committed strengthening coming day termed gifting medicine another demonstration trajectory bilateral relation moving right direction event also attended foreign secretary masud bin momen president bangladesh association pharmaceutical industry nazmul hassan among others government drug company edcl bapi contributed medicine tk crore offer medicine would certainly manifest capability pharmaceutical industry term ability producing high quality medicine financial capacity also demonstrates bangladesh foreign policy resolve maintaining friendly cooperative relation neighbor said foreign ministry earlier bangladesh supported sri lanka providing million currency swapping arrangement,Bangladesh Post,1,262
8,0.128,0.872,0.0,-0.9186,gas supply resume dhaka adjoining area gas supply resumed different area dhaka city adjoining area thursday afternoon said titas gas announcement titas gas transmission distribution company limited suspended gas supply pm may eid day period hour different area including amin bazar hemayetpur savar epz ashulia manikganj dhamrai due maintenance work also said area dhaka city may experience low pressure gas supply period include gabtoli mazar road kalyanpur shymoli mirpur mohammadpur dhanmondi meanwhile gas transmission company bangladesh gtcl public notice also informed suspend gas supply two high pressure pipeline maintenance replacement work hour pm may high pressure gas pipeline dhanua savar inch dia gas transmission line inch dia gas transmission line bangabandhu bridge eastern end western end,Bangladesh Post,-1,116
9,0.051,0.802,0.147,0.9943,mofa denies report rohingya child learning facility closure ministry foreign affair mofa statement thursday protested report closure rohingya child learning facility barring teacher student attending false fabricated myanmar wing foreign ministry statement signed director general miah md mainul kabir clarified misrepresentation bangladesh government arrangement learning facility rohingya child said government bangladesh place great importance ensuring access education especially girl similar vein government facilitating learning activity rohingya child inside camp however deep concern disinformation propagated learning facility forcibly displaced myanmar national fdmn rohingya child government bangladesh working un agency gradually bring learning facility myanmar curriculum streamline volunteer teacher engagement adopting policy capacity building read statement government bangladesh arranged learning scope rohingya child inside camp around learning facility operation neither education sector operator rohingya camp unicef lead agency education raised concern closing learning facility fdmn child study unicef brac developed curriculum called learning competency framework approach lcfa camp completely free charge since end last year pilot project called myanmar curriculum pilot mcp rolled rohingya camp follows myanmar curriculum conducted primarily myanmar language would gradually replace lcfa unicef lead agency roll myanmar curriculum inside camp free charge learning center phased manner grade one twelve government body support un agency arranging learning accordance myanmar curriculum would allow every participant continue exposed culture mother tongue national identity would facilitate reintegration ancestral society rakhine state smoothly upon voluntary return besides student need special help like disabled adolescent girl face difficulty attending learning center conservative mindset family attend alternate learning facility described community based learning center learning center also take place exceptionally event medical emergency natural disaster rohingya volunteer teacher conducting teaching additional volunteer engaged trained teach myanmar curriculum host community representative may recruited subject cannot taught rohingya volunteer myanmar curriculum government bangladesh un finalizing policy streamline volunteer teacher engagement make fruitful myanmar curriculum roll different grade effort continue ensure standard curriculum taught student ensure education provided rohingya refugee free charge disparity created among fdmn child name education ensure government bangladesh discourages operation private coaching center moktobs inside camp learning activity conducted exchange money necessarily follow myanmar curriculum even suspected spread ideology ulterior motif dropout rate established learning center increasing due unexpected operation coaching center promotion coaching center would turn learning business commodity following covid related global health advisory learning center suspended highly congested rohingya camp reopened pre covid condition corona virus situation improved educational facility running regular basis like educational institution bangladesh besides school office remain closed weekend national holiday globally covid induced suspension enjoying holiday weekend government holiday suspension unauthorised business venture name education treated effort impede learning facility rohingya child bangladesh government appreciates international community cooperation facilitate early sustainable voluntary repatriation rohingya ancestral land rakhine state myanmar also expectation rohingya prolonged presence huge number persecuted people entail serious ramification economy environment security socio political stability bangladesh beyond bangladesh considers continuation learning myanmar curriculum effort keep child engaged productive capacity building activity would work incentive early voluntary repatriation read statement foreign ministry bangladesh given shelter million rohingya population fled ethnic cleansing myanmar rakhine state despite singing deal myanmar government take back,Bangladesh Post,1,506
10,0.178,0.782,0.04,-0.9786,cyclone asani might hit bangladesh coast cyclone asani could hit bangladesh satkhira via odishain northeastern india west bengal said state minister disaster management relief dr md enamur rahman made statement talking reporter meeting cyclone preparedness secretariat thursday came know yesterday wednesday cyclonic situation developed near andaman island indian ocean might turn low may may change shape low pressure deep depression cyclone landfall calculated yet able give detail formation depression cyclone said state minister said since bangladesh cyclone prone country bitter experience past million people lost life storm therefore called preliminary meeting thursday discussed cyclone possible time light pressure time depression added dr rahman mentioned taken decision regarding preparation step involved charge give instruction warning given later hold inter ministerial meeting give instruction field level cyclone preparedness program cpp volunteer notified working coastal area informed according standing order disaster sod alert later action taken according cyclone situation said state minister mentioned shelter centre necessary school college building also used built shelter centre amphan able shelter lakh people hopefully able tackle cyclone added,Bangladesh Post,-1,171
11,0.176,0.735,0.089,-0.9783,dhaka air quality improves bangladesh capital dhaka saw marked improvement air quality thursday air quality index aqi score metropolis ranked th list world city worst air quality dhaka aqi categorised moderate russia krasnoyarsk india delhi china chengdu occupied first three spot list aqi score respectively aqi considered unhealthy particularly sensitive group similarly aqi said poor reading considered hazardous posing serious health risk resident aqi index reporting daily air quality used government agency inform people clean polluted air certain city associated health effect might concern bangladesh aqi based five criterion pollutant particulate matter pm pm co ozone dhaka long grappling air pollution issue air quality usually turn unhealthy winter improves monsoon report department environment doe world bank march pointed three main source air pollution dhaka brick kiln fume vehicle dust construction site advent winter city air quality start deteriorating sharply due massive discharge pollutant particle construction work rundown road brick kiln source air pollution consistently rank among top risk factor death disability worldwide breathing polluted air long recognised increasing person chance developing heart disease chronic respiratory disease lung infection cancer according several study per world health organization air pollution kill estimated seven million people worldwide every year largely result increased mortality stroke heart disease chronic obstructive pulmonary disease lung cancer acute respiratory infection,Bangladesh Post,-1,212
12,0.125,0.736,0.139,0.0191,haji selim return home obeying law home minister awami league lawmaker haji mohammad selim went bangkok treatment despite conviction corruption case returned country abiding law home minister asaduzzaman khan kamal said thursday haji selim member parliament respectful country law minister told reporter secretariat therefore nothing create confusion regard hopefully matter clear added monday haji selim sentenced year imprisonment case filed anti corruption commission acc left country bangkok sparking huge criticism february full text high court verdict published upholding year imprisonment hc asked surrender trial court within day receiving verdict hc directed trial court cancel bail order mp issue arrest warrant surrender within given time acc lawyer khurshid alam said verdict haji selim lost eligibility remain mp according article constitution march last year hc bench justice md moinul islam chowdhury justice akm zahirul huq passed order hearing petition acc acc filed case selim april dhaka court jailed year fined tk lakh selim moved high court verdict court overturned sentence acc later appealed lower court verdict later appellate division asked high court hear petition irregularity selim resurfaced son irfan selim arrested assaulting navy official,Bangladesh Post,0,182
13,0.248,0.69,0.062,-0.9849,country see lowest covid positivity rate since bangladesh reported four new covid case hour thursday morning took total caseload new covid death reported period country total fatality pandemic remained unchanged according directorate general health service dghs daily positivity rate dropped percent lowest since pandemic broke wednesday percent sample tested fatality rate remained unchanged percent besides recovery rate rose percent patient recovered period april country reported five covid linked death new case patient recovered disease according dghs among five death period two unvaccinated patient three vaccinated two dos covid vaccine country reported first zero covid death single day november last along case since pandemic broke march january bangladesh logged previous highest positivity rate percent country registered highest daily caseload july last year daily fatality august year,Bangladesh Post,-1,125
14,0.267,0.702,0.031,-0.9974,new market clash rab nabs anti crime elite force rapid action battalion nabbed three person last night alleged involvement last month deadly clash dhaka new market area shopkeeper worker market student dhaka college talking bangladesh post rab legal medium wing director commander khandaker al moin confirmed thursday arrested identified md moazzem hossain sajib mehedi hasan bappi md mahmudul hasan siam sajib babbi arrested charge starting clash siam arrested death delivery worker nahid hossain violence rab claimed siam attacked nahid locally made weapon sajib bappi worked fast food shop welcome one two shop clash stemmed sajib bappi arrested cox bazar april got conflict staff capital fastfood regarding setting table selling iftar item called miscreant help people showed started beating staff capital fastfood around pm staff shop started resisting assault many injured side clash ensued next morning following incident sajib bappi fled cox bazar cut hair bid hide identity also tried get job residential hotel added rab official hand siam seen hitting deliveryman nahid local weapon cctv footage arrested shariatpur nahid taken dhaka medical college critical condition later succumbed death night april deadly clash erupted dhaka college student new market trader spilled next day leaving nahid shopkeeper morsalin dead least injured five case including two murder case lodged far april police arrested one main accused one case former president dhaka new market thana bnp advocate maqbool hossain april police arrested five student dhaka college connection beating hacking delivery man nahid mia death new market clash april dhaka court placed student day remand student md abdul kaiyum th year palash mia final year mahmood irfan th year junaid bugdadi first year foysal islam,Bangladesh Post,-1,270
15,0.223,0.662,0.115,-0.9907,sri lanka forex reserve record low sri lanka economy dire strait usable foreign reserve le million country finance minister said wednesday ali sabry speaking parliament returning sri lanka talk international monetary fund said imf rescue program including rapid financing instrument needed urgently resolve shortage essential good would depend negotiation debt restructuring creditor would take six month implement sri lanka brink bankruptcy suspended payment foreign loan economic misery brought political crisis government facing protest confidence motion parliament country due repay billion year billion foreign loan scheduled pay severe risk front u said sabri said sri lanka reserve stood billion end fell billion end payment outpaced inflow foreign currency amid pandemic reserve declined billion end billion end march said foreign currency short supply thanks le tourism revenue official reserve tapped pay importing essential including fuel gas coal medicine beginning august bulk sri lanka remaining reserve including billion equivalent swap facility china usable settling dollar denominated payment said sabri comment came day country main opposition party issued confidence motion aiming ousting prime minister mahinda rajapaksa cabinet opposition united people force blame government failing constitutional duty provide decent living standard accuses top government official excessively printing money hurting farm production banning chemical fertilizer make production fully organic minimize import cost failing order covid vaccine timely manner buying later higher price date yet announced vote confidence motion foreign currency crisis limited import caused severe shortage essential good like fuel cooking gas medicine food people must line hour buy many return home little seeking protest spread demanding resignation mahinda rajapaksa head influential clan held power past two decade younger brother president gotabaya rajapaksa occupation entrance president office protester demanding rajapaksas resign th day wednesday far rajapaksa brother resisted call resign though three rajapaksas five lawmaker stepped cabinet post mid april sabri said sri lanka process appointing legal financial adviser negotiation restructuring foreign debt economic crisis economic crisis created political crisis important resolve political crisis order find solution economic crisis sabri said,Bangladesh Post,-1,325
16,0.021,0.865,0.114,0.9287,holidaymaker start returning dhaka eid holidaymaker started returning capital celebrating eid ul fitr village home increased number passenger bus major highway noticed friday however traffic movement normal road highway among holidaymaker working people returned capital join workplace eid vacation visiting gabtoli sayedabad mohakhali bus terminal friday seen people returning dhaka bus microbus private car motorcycle different district since morning pressure dhaka bound people increased paturia ferry terminal also total ferry kept ready daulatdia paturia route ensure smooth movement vehicle due le traffic present ferry service people seen coming paturia terminal daulatdia ferry launch without hassle walking one km board bus reach destination meanwhile adequate police force ferry terminal area prevent bus driver associate charging extra fare passenger people district southern region started returning work banglabazar shimulia route day progressed friday pressure dhaka bound passenger increased banglabazar terminal allegation charging extra fare vehicle seen spot passenger coming banglabazar local bus mini truck micro three wheeler motorcycle since friday morning crowd dhaka bound people noticed station also train reached kamalapur railway station hundred percent passenger friday train seen carrying extra passenger train passenger brahmanbaria tangail jamalpur mymensingh said stand throughout journey get ticket compartment several time passenger seat,Bangladesh Post,1,196
17,0.036,0.875,0.089,0.9774,dhaka bursting seam huge population amended bldg construction rule card government moving forward update dhaka building construction rule control population density dhaka surrounding area rajdhani unnayan kartripakkha rajuk already prepared draft proposed amended rule passed building one size height constructed area rajuk population density height zoning provision would incorporated revised rule said rajuk official ashraful islam city planner rajuk said draft rule finalized yet meeting held month review draft population density dhaka much higher average city population density however population density even time capacity many area capital city bangladesh example dhanmondi area developed population allotting plot later number plot height building increased derailing basic plan result people live area according source rajuk population density ward dhaka south city corporation cover akshay da lane shankhari nagar lane area people per acre expected capacity ward people per acre time people living capacity hand people live ward dhaka north city corporation comprises zafarabad rayerbazar area acre capacity area people per acre time people live capacity nearly people live acre land gandaria area old dhaka number nearly gulshan expert urban planner said people deprived healthy environment civic amenity due population density higher capacity kazi khaleed ashraf architect urbanist also director bengal institute architecture landscape settlement said city mere building street space theatre social action proper plan action taken make dhaka livable added prof dr adil mohammed khan expert urban planning said dhaka become unlivable due absence proper planning population density area city populated even nine time higher ideal capacity added said inhabitant could live one acre dhaka city ideal density direct connection population density height building said present area rajuk sq km apart two city corporation dhaka part narayanganj savar gazipur rajuk building area constructed accordance dhaka building construction rule however gazipur unnayan kartripakkha act enacted recently appointment chairman activity authority started activity start gazipur excluded area rajuk standard area based floor area ratio far differentiated draft far refers size height building based land width sidewalk according existing rule road area old dhaka foot wide five katha land side road building height constructed gulshan savar width road amount land present standard far area rajuk according draft area population density high far standard considered low mean size height building decrease area population density low far standard relatively high mean size height building increased expert urban planner see provision fixing far standard depending area positive government implementing existing dhaka building construction rule managing dhaka infrastructure provision far partially responsible turning dhaka unlivable city area utility service important maximum height various zone considered automatic considered individual site residential development planning process said prof akter mahmud former president bangladesh institute planner bip appreciated inclusion provision draft mohammad fazle reza president bip said many people live beyond capacity many area existing rule give far area negative impact civic service livability city determining area wise far prevent situation getting worse area alongside far three new large scale strategy added draft include approval plan construction building addition structural drawing approval construction building fully digital manner according current building construction rule rule conducting traffic impact assessment case construction particular project large scale commercial building problem traffic area adequate parking facility provided new building required muhammad rashidul hasan head associate professor department urban regional planning chattogram university engineering technology cuet said appreciate issue determining far area said dhaka city one densely populated city world secondary town municipality country also growing rapid pace well overcome existing problem proper urban policy required,Bangladesh Post,1,567
18,0.0,0.797,0.203,0.9862,th anniv bangladesh u tie u congress introduces bipartisan resolution u congress introduced bipartisan resolution commemorating th anniversary establishment bangladesh u diplomatic relation democratic congressman brian higgins new york introduced resolution congress may co sponsored republican congresswoman amata coleman radewagen american samoa according message received dhaka friday resolution referred u house committee foreign affair added highlighted united state bangladesh shared rich multifaceted relationship focused cooperation range issue including economic security governance development advance shared vision free open inclusive peaceful secure indo pacific region resolution mentioned recognition independent bangladesh united state april subsequent acknowledgement recogni tion prime minister bangabandhu sheikh mujibur rahman letter president nixon april also recognized joint effort made bangladesh usa combating covid pandemic well contribution two country toward assisting rohingyas fled genocide myanmar congress resolution also cited senator edward kennedy role support bangladesh independence president bill clinton visit bangladesh first u head state also mentioned president joe biden pledge made contribute climate aid bangladesh bangladesh embassy usa welcomed house resolution th anniversary bangladesh u tie,Bangladesh Post,1,167
19,0.0,0.791,0.209,0.9771,iconic structure illuminated red green canberra historic john gorton building old parliament house national carillon canberra illuminated red green evening friday behalf australian government department foreign affair trade national capital authority australia shown unique gesture friendship australia bangladesh celebrating th anniversary bilateral relation year lighting made available sunset friday dawn next day enthusiastic community member enjoyed lighting friend family sought contribute propagating message friendship partnership australia bangladesh earlier high commission arranged lighting national carillon colour bangladesh flag independence national day march high commission engaged australian authority last year illumination several iconic structure canberra bangladesh australia mark th anniversary bilateral relation year illumination made bangladesh visible canberra earned high appreciation diaspora member according bangladesh mission canberra,Bangladesh Post,1,115
20,0.035,0.749,0.215,0.9892,pm building climate tolerant infrastructure prime minister sheikh hasina urged engineer play effective role constructing infrastructure suitable cope adverse impact climate change engineer must play effective role building infrastructure tolerant climate change adverse impact ensuring food energy security said message issued today occasion th founding anniversary engineer institution bangladesh ieb engineer day greeting engineer occasion prime minister said role engineer important country overall development technological engineering development key development nation said adding immediate independence country engineer played significant role reconstructing war ravaged bangladesh leadership father nation bangabandhu sheikh mujibur rahman sheikh hasina said engineer putting country forward technical engineering progress continuation awami league government since said implementing many mega project including padma bridge metrorail elevated expressway karnaphuli tunnel lng terminal rooppur nuclear power plant special zone apart development road rail waterway communication engineer playing key role development project prime minister said recalling government constant support engineer said al government always remains beside era al government allocated bighas land construction ieb building provided total taka crore ieb building sheikh hasina said said occasion mujib year year independence bangladesh graduated developing country least developed one engineer significant contribution end sheikh hasina hoped engineer play leading role building prosperous developed sonar bangla dreamt father nation bangabandhu sheikh mujibur rahman wished programme taken occasion engineer day success,Bangladesh Post,1,213
